Date,Open,High,Low,Close,Volume
2023-01-03,10.00,10.20,9.90,10.15,100000
2023-01-04,10.15,10.30,10.10,10.25,120000
2023-01-05,10.25,10.28,10.05,10.10,95000
2023-01-06,10.10,10.18,9.95,10.08,90000
2023-01-09,10.12,10.35,10.08,10.30,110000
2023-01-10,10.30,10.40,10.25,10.38,105000
2023-01-11,10.38,10.55,10.35,10.50,130000
2023-01-12,10.50,10.52,10.40,10.45,100000
2023-01-13,10.45,10.60,10.42,10.58,125000
2023-01-16,10.60,10.70,10.55,10.65,115000
2023-01-17,10.65,10.75,10.20,10.25,118000
2023-01-18,10.25,10.30,10.00,10.05,105000
2023-01-19,10.05,10.15,9.99,9.95,95000
2023-01-20,9.95,10.20,9.95,10.15,110000
2023-01-23,10.15,10.30,10.10,10.25,120000
2023-01-24,10.25,10.40,10.20,10.35,115000
2023-01-25,10.35,10.50,10.30,10.48,125000
2023-01-26,10.48,10.55,10.20,10.25,118000
2023-01-27,10.25,10.30,10.00,10.05,105000
2023-01-30,10.05,10.15,9.90,9.95,95000
2023-01-31,9.95,10.20,9.90,10.15,110000
2023-02-01,10.15,10.30,10.10,10.25,120000
2023-02-02,10.25,10.40,10.20,10.35,115000
2023-02-03,10.35,10.50,10.30,10.48,125000
2023-02-06,10.48,10.55,10.20,10.25,118000
2023-02-07,10.25,10.30,10.40,10.05,105000
2023-02-08,10.05,10.15,9.96,9.95,95000
2023-02-09,10.35,10.50,10.30,10.48,125000
2023-02-10,10.48,10.55,10.20,10.25,118000
2023-02-11,10.25,10.30,10.00,10.05,105000
2023-02-12,10.65,10.65,10.10,9.95,95000
2023-02-13,10.75,10.75,10.20,9.95,96000
2023-02-14,10.85,10.95,10.30,9.95,98000
2023-02-15,9.95,10.55,9.75,10.35,100000
2023-02-16,10.35,10.95,10.15,10.75,100000
2023-02-17,10.75,11.35,10.55,11.15,100000
2023-02-18,11.15,11.75,10.95,11.55,100000
2023-02-19,11.55,12.15,11.35,11.95,100000
2023-02-20,11.95,12.55,11.75,12.35,100000
2023-02-21,12.35,12.95,12.15,12.75,100000
2023-02-22,12.75,13.35,12.55,13.15,100000
2023-02-23,13.15,13.75,12.95,13.55,100000
2023-02-24,13.55,14.15,13.35,13.95,100000
2023-02-25,13.95,14.55,13.75,14.35,100000
2023-02-26,14.35,14.95,14.15,14.75,100000
2023-02-27,14.75,15.35,14.55,15.15,100000
2023-02-28,15.15,15.75,14.95,15.55,100000
2023-03-01,15.55,16.15,15.35,15.95,100000
2023-03-02,15.95,16.25,15.85,16.15,100000
2023-03-03,16.15,16.45,16.05,16.35,100000
2023-03-04,16.35,16.65,16.25,16.55,100000
2023-03-05,16.55,16.85,16.45,16.75,100000
2023-03-06,16.75,17.05,16.65,16.95,100000
2023-03-07,16.95,17.15,16.35,16.55,100000
2023-03-08,16.55,16.75,15.95,16.15,100000
2023-03-09,16.15,16.35,15.55,15.75,100000
2023-03-10,15.75,15.95,15.15,15.35,100000
2023-03-11,15.35,15.55,14.75,14.95,100000
2023-03-12,14.95,15.15,14.35,14.55,100000
2023-03-13,14.55,14.75,13.95,14.15,100000
2023-03-14,14.15,14.75,13.95,14.55,100000
2023-03-15,14.55,15.15,14.35,14.95,100000
2023-03-16,14.95,15.55,14.75,15.35,100000
2023-03-17,15.35,15.95,15.15,15.75,100000
2023-03-18,15.75,16.35,15.55,16.15,100000
2023-03-19,16.15,16.75,15.95,16.55,100000
2023-03-20,16.55,17.15,16.35,16.95,100000
2023-03-21,16.95,17.55,16.75,17.35,100000
2023-03-22,17.35,17.95,17.15,17.75,100000
2023-03-23,17.75,18.35,17.55,18.15,100000
2023-03-24,18.15,18.75,17.95,18.55,100000
2023-03-25,18.55,19.15,18.35,18.95,100000
2023-03-26,18.95,19.05,18.75,18.75,100000
2023-03-27,18.75,18.85,18.55,18.55,100000
2023-03-28,18.55,18.65,18.35,18.35,100000
2023-03-29,18.35,18.45,18.15,18.15,100000
2023-03-30,18.15,18.25,17.95,17.95,100000
2023-03-31,17.95,18.15,17.35,17.55,100000
2023-04-01,17.55,17.75,16.95,17.15,100000
2023-04-02,17.15,17.35,16.55,16.75,100000
2023-04-03,16.75,16.95,16.15,16.35,100000
2023-04-04,16.35,16.55,15.75,15.95,100000
2023-04-05,15.95,16.15,15.35,15.55,100000
2023-04-06,15.55,15.75,14.95,15.15,100000
2023-04-07,15.15,15.75,14.95,15.55,100000
2023-04-08,15.55,16.15,15.35,15.95,100000
2023-04-09,15.95,16.55,15.75,16.35,100000
2023-04-10,16.35,16.95,16.15,16.75,100000
2023-04-11,16.75,17.35,16.55,17.15,100000
2023-04-12,17.15,17.75,16.95,17.55,100000
2023-04-13,17.55,18.15,17.35,17.95,100000
2023-04-14,17.95,18.55,17.75,18.35,100000
2023-04-15,18.35,18.95,18.15,18.75,100000
2023-04-16,18.75,19.35,18.55,19.15,100000
2023-04-17,19.15,19.75,18.95,19.55,100000
2023-04-18,19.55,20.15,19.35,19.95,100000
2023-04-19,19.95,20.55,19.75,20.35,100000
2023-04-20,20.35,20.65,20.25,20.55,100000
2023-04-21,20.55,20.85,20.45,20.75,100000
2023-04-22,20.75,21.05,20.65,20.95,100000
2023-04-23,20.95,21.25,20.85,21.15,100000
2023-04-24,21.15,21.45,21.05,21.35,100000
2023-04-25,21.35,21.55,20.75,20.95,100000
2023-04-26,20.95,21.15,20.35,20.55,100000
2023-04-27,20.55,20.75,19.95,20.15,100000
2023-04-28,20.15,20.35,19.55,19.75,100000
2023-04-29,19.75,19.95,19.15,19.35,100000
2023-04-30,19.35,19.55,18.75,18.95,100000
2023-05-01,18.95,19.15,18.35,18.55,100000
2023-05-02,18.55,19.15,18.35,18.95,100000
2023-05-03,18.95,19.55,18.75,19.35,100000
2023-05-04,19.35,19.95,19.15,19.75,100000
2023-05-05,19.75,20.35,19.55,20.15,100000
2023-05-06,20.15,20.75,19.95,20.55,100000
2023-05-07,20.55,21.15,20.35,20.95,100000
2023-05-08,20.95,21.55,20.75,21.35,100000
2023-05-09,21.35,21.95,21.15,21.75,100000
2023-05-10,21.75,22.35,21.55,22.15,100000
